"BIB_ID","ITEM_ID","TITLE","LOCATION_CODE","DISPLAY_CALL_NO","ITEM_STAT_CODE_DESC"
231506,12901221,Color purple : a novel / by Alice Walker. ,lsfbeiar,JWJ Zan W15 982c,RestrictedCurApprSpecColl
474810,12408137,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408160,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408233,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408254,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408266,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408289,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408307,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408432,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408457,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408474,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408490,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12408511,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429579,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429658,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429661,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429679,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429766,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429799,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429815,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429919,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12429979,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12430002,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
474810,12430024,Playboy. ,lsfbeir,"1980 +S101",RestrictedFragileSpecColl
